time[sec],ax[m/s^2],ay[m/s^2],az[m/s^2],gx[rad/s],gy[rad/s],gz[rad/s]
2.020,0.259,-0.187,9.499,-0.024,0.010,0.008
2.030,0.230,-0.187,9.451,-0.023,0.010,0.012
2.040,0.292,-0.172,9.451,-0.028,0.013,0.011
2.050,0.235,-0.158,9.503,-0.029,0.011,0.010
2.060,0.316,-0.196,9.475,-0.027,0.010,0.008
2.070,0.263,-0.168,9.556,-0.027,0.010,0.011
2.080,0.259,-0.158,9.542,-0.027,0.007,0.009
2.090,0.249,-0.182,9.503,-0.028,0.010,0.011
2.100,0.168,-0.168,9.513,-0.030,0.001,0.010
2.110,0.302,-0.163,9.547,-0.031,0.009,0.010
2.120,0.283,-0.129,9.547,-0.025,0.010,0.011
2.130,0.273,-0.196,9.484,-0.026,0.014,0.009
2.140,0.240,-0.206,9.580,-0.028,0.013,0.012
2.150,0.283,-0.144,9.580,-0.025,0.010,0.012
2.160,0.292,-0.134,9.489,-0.030,0.009,0.011
2.170,0.297,-0.139,9.556,-0.024,0.007,0.012
2.180,0.220,-0.172,9.594,-0.031,0.014,0.008
2.190,0.307,-0.192,9.561,-0.031,0.010,0.010
2.200,0.259,-0.206,9.518,-0.026,0.011,0.008
2.210,0.254,-0.211,9.479,-0.025,0.014,0.013
2.220,0.283,-0.153,9.465,-0.027,0.011,0.011
2.230,0.244,-0.220,9.566,-0.025,0.005,0.009
2.240,0.254,-0.148,9.412,-0.026,0.012,0.011
2.250,0.297,-0.163,9.470,-0.028,0.012,0.012
2.260,0.316,-0.235,9.427,-0.028,0.009,0.011
2.270,0.206,-0.134,9.532,-0.028,0.014,0.011
2.280,0.326,-0.196,9.508,-0.025,0.013,0.008
2.290,0.311,-0.187,9.460,-0.028,0.010,0.010
2.300,0.211,-0.139,9.580,-0.028,0.007,0.011
2.310,0.263,-0.153,9.566,-0.025,0.011,0.010
2.320,0.225,-0.235,9.484,-0.025,0.011,0.009
2.330,0.302,-0.168,9.484,-0.026,0.009,0.011
2.340,0.297,-0.134,9.403,-0.027,0.012,0.012
2.350,0.235,-0.177,9.542,-0.029,0.010,0.007
2.360,0.292,-0.192,9.518,-0.030,0.012,0.011
2.370,0.240,-0.139,9.542,-0.026,0.009,0.013
2.380,0.235,-0.163,9.566,-0.030,0.008,0.008
2.390,0.278,-0.192,9.547,-0.029,0.010,0.008
2.400,0.283,-0.216,9.470,-0.032,0.013,0.009
2.410,0.263,-0.187,9.456,-0.027,0.006,0.011
2.420,0.259,-0.196,9.527,-0.032,0.011,0.009
2.430,0.249,-0.192,9.508,-0.028,0.010,0.008
2.440,0.220,-0.216,9.556,-0.027,0.009,0.004
2.450,0.230,-0.182,9.503,-0.029,0.012,0.010
2.460,0.273,-0.196,9.470,-0.026,0.010,0.008
2.470,0.211,-0.196,9.465,-0.029,0.015,0.011
2.480,0.268,-0.153,9.441,-0.027,0.006,0.011
2.490,0.283,-0.216,9.436,-0.027,0.012,0.012
2.500,0.268,-0.196,9.542,-0.030,0.010,0.011
2.510,0.297,-0.158,9.384,-0.027,0.007,0.009
2.520,0.249,-0.187,9.523,-0.029,0.014,0.009
2.530,0.335,-0.240,9.532,-0.029,0.007,0.015
2.540,0.278,-0.172,9.590,-0.026,0.011,0.008
2.550,0.321,-0.148,9.369,-0.028,0.013,0.010
2.560,0.278,-0.177,9.479,-0.027,0.013,0.011
2.570,0.278,-0.220,9.489,-0.024,0.009,0.008
2.580,0.254,-0.235,9.403,-0.026,0.008,0.009
2.590,0.254,-0.172,9.460,-0.025,0.012,0.011
