time[sec],ax[m/s^2],ay[m/s^2],az[m/s^2],gx[rad/s],gy[rad/s],gz[rad/s]
9.180,-1.571,-0.263,9.652,0.027,1.880,0.046
9.190,-1.930,0.000,10.414,0.022,1.984,0.032
9.200,-2.352,-0.163,11.324,0.017,2.301,0.035
9.210,-3.219,-0.153,11.290,-0.036,2.795,0.119
9.220,-3.770,-0.072,10.787,-0.112,3.318,0.133
9.230,-2.797,0.158,9.820,-0.192,3.706,0.091
9.240,-1.758,0.168,8.363,-0.248,3.745,0.068
9.250,-1.485,0.144,6.926,-0.237,3.403,0.022
9.260,-1.983,-0.307,6.174,-0.208,2.844,0.004
9.270,-3.444,-0.369,6.696,-0.105,2.289,0.013
9.280,-4.766,-0.172,8.033,-0.037,1.986,-0.029
9.290,-5.298,0.077,9.479,-0.061,1.967,-0.020
9.300,-5.810,0.263,10.155,-0.180,2.149,0.034
9.310,-6.179,0.393,9.896,-0.366,2.509,0.076
9.320,-5.667,0.144,8.799,-0.480,2.914,0.035
9.330,-5.092,-0.057,7.434,-0.476,3.160,0.004
9.340,-3.894,-0.508,6.471,-0.345,3.170,0.026
9.350,-3.722,-0.857,5.758,-0.133,2.979,0.062
9.360,-4.191,-0.675,5.758,0.037,2.610,0.058
9.370,-5.561,-0.369,5.959,0.083,2.151,0.057
9.380,-6.874,-0.048,6.629,0.047,1.796,0.055
9.390,-7.607,0.062,7.813,-0.058,1.807,0.038
9.400,-7.674,0.053,8.948,-0.216,2.036,0.068
9.410,-7.664,-0.273,8.541,-0.331,2.409,0.146
9.420,-7.492,-0.599,7.343,-0.325,2.779,0.202
9.430,-6.816,-0.738,5.820,-0.207,3.042,0.218
9.440,-5.628,-0.680,4.603,-0.074,3.050,0.151
9.450,-5.513,-0.704,3.818,0.044,2.675,0.129
9.460,-6.170,-0.383,3.913,0.158,2.218,0.137
9.470,-7.314,-0.168,4.618,0.206,1.927,0.104
9.480,-8.148,-0.105,5.441,0.171,1.883,0.093
9.490,-8.517,-0.120,5.988,0.083,2.104,0.063
9.500,-8.718,-0.417,6.591,0.001,2.428,0.104
9.510,-8.569,-0.508,6.816,-0.062,2.829,0.193
9.520,-6.481,-0.378,2.189,0.186,3.096,0.272
9.530,-6.510,-0.316,2.060,0.213,3.037,0.264
9.540,-6.644,-0.326,1.935,0.237,2.966,0.255
9.550,-6.821,-0.249,1.993,0.263,2.904,0.246
9.560,-7.008,-0.206,1.950,0.289,2.837,0.245
9.570,-8.124,0.235,2.553,0.361,2.739,0.214
9.580,-8.665,0.417,3.588,0.351,3.010,0.175
9.590,-9.091,-0.216,3.027,0.284,3.360,0.182
9.600,-9.388,-0.196,1.935,0.214,3.461,0.207
9.610,-9.173,0.048,1.169,0.161,3.371,0.197
9.620,-9.183,0.144,0.901,0.133,3.295,0.188
9.630,-9.326,0.364,0.378,0.131,3.275,0.197
9.640,-9.024,0.220,-0.168,0.145,3.278,0.154
9.650,-8.450,-0.201,-1.121,0.231,3.189,0.121
9.660,-8.301,0.029,-1.403,0.286,3.014,0.118
9.670,-8.440,0.307,-1.020,0.237,2.834,0.048
9.680,-8.612,0.220,-0.881,0.079,2.681,-0.001
9.690,-9.441,-0.081,-1.092,-0.152,2.510,-0.010
9.700,-9.949,-0.259,-2.323,-0.312,2.360,-0.005
9.710,-10.121,-0.148,-3.626,-0.394,2.167,0.000
9.720,-10.141,0.148,-4.186,-0.339,1.892,-0.006
9.730,-9.719,0.417,-4.297,-0.247,1.730,0.000
9.740,-9.331,0.513,-4.230,-0.141,1.546,0.002
9.750,-8.953,0.187,-3.751,-0.038,1.230,-0.054
9.760,-8.996,-0.192,-2.984,0.021,0.858,-0.055
9.770,-8.713,-0.412,-2.079,0.021,0.670,-0.004
9.780,-8.483,-0.307,-2.012,-0.034,0.619,0.072
9.790,-8.823,0.096,-2.639,-0.116,0.570,0.106
9.800,-8.785,0.163,-3.396,-0.165,0.439,0.112
9.810,-8.919,0.086,-4.321,-0.175,0.219,0.107
9.820,-9.197,0.196,-5.101,-0.139,-0.134,0.077
9.830,-9.614,0.407,-5.015,-0.090,-0.585,-0.014
9.840,-9.317,0.551,-4.153,-0.071,-0.946,-0.121
9.850,-8.919,0.503,-3.070,-0.092,-1.160,-0.182
9.860,-8.814,0.292,-2.596,-0.102,-1.308,-0.208
9.870,-8.718,0.134,-2.706,-0.068,-1.436,-0.227
9.880,-8.545,-0.062,-2.845,-0.032,-1.591,-0.205
9.890,-8.713,-0.148,-2.975,-0.033,-1.765,-0.179
9.900,-8.593,-0.187,-3.185,-0.021,-1.884,-0.140
9.910,-8.574,-0.273,-3.535,-0.010,-2.050,-0.074
9.920,-8.799,-0.081,-3.588,-0.009,-2.301,-0.045
9.930,-8.593,0.187,-3.243,-0.048,-2.616,-0.071
9.940,-9.029,0.302,-2.812,-0.149,-3.072,-0.121
9.950,-10.035,0.479,-1.542,-0.353,-3.351,-0.231
9.960,-10.457,0.450,0.489,-0.524,-3.288,-0.287
9.970,-10.370,0.172,1.839,-0.577,-3.049,-0.349
9.980,-9.125,-0.172,1.950,-0.424,-2.689,-0.391
9.990,-7.923,-0.359,1.408,-0.208,-2.417,-0.361
10.000,-7.223,-0.575,0.469,-0.022,-2.338,-0.325
10.010,-8.143,-0.570,5.116,-0.561,-2.763,-0.342
10.020,-7.813,-0.699,4.934,-0.517,-2.739,-0.357
10.030,-7.549,-0.627,4.713,-0.474,-2.719,-0.375
10.040,-7.276,-0.642,4.699,-0.426,-2.700,-0.393
10.050,-6.998,-0.546,4.450,-0.377,-2.693,-0.408
10.060,-6.864,-0.484,4.086,-0.332,-2.698,-0.426
10.070,-6.596,-0.455,3.976,-0.279,-2.699,-0.441
10.080,-6.572,-0.460,3.607,-0.215,-2.722,-0.451
10.090,-6.524,-0.489,3.511,-0.162,-2.750,-0.466
10.100,-6.491,-0.570,2.788,-0.052,-2.824,-0.484
10.110,-6.289,-0.757,2.103,0.155,-3.011,-0.496
10.120,-6.294,-0.589,2.764,0.254,-3.093,-0.501
10.130,-6.275,-0.402,3.564,0.238,-3.146,-0.516
10.140,-7.046,-0.723,4.345,0.120,-3.311,-0.502
10.150,-8.536,-1.130,5.839,-0.078,-3.485,-0.408
10.160,-8.751,-1.011,7.520,-0.258,-3.430,-0.339
10.170,-7.597,-1.078,7.453,-0.338,-3.378,-0.298
10.180,-6.553,-1.126,5.954,-0.225,-3.475,-0.273
10.190,-5.873,-0.886,4.407,0.042,-3.804,-0.282
10.200,-5.149,-0.565,3.937,0.343,-4.206,-0.291
10.210,-4.613,-0.474,4.972,0.477,-4.366,-0.333
10.220,-4.369,-0.690,5.403,0.414,-4.366,-0.356
10.230,-5.034,-0.910,6.653,0.246,-4.366,-0.293
10.240,-5.073,-0.848,8.871,0.086,-4.119,-0.248
10.250,-4.234,-1.054,11.070,-0.106,-3.583,-0.209
10.260,-2.912,-1.265,11.736,-0.179,-2.994,-0.155
10.270,-2.630,-1.097,9.887,-0.096,-2.727,-0.104
10.280,-2.773,-1.183,7.635,0.078,-2.920,-0.095
10.290,-2.759,-0.565,5.748,0.310,-3.458,-0.150
10.300,-3.885,-0.129,3.899,0.406,-4.256,-0.208
10.310,-4.531,-0.378,4.201,0.404,-4.366,-0.299
10.320,-3.492,-0.393,7.281,0.473,-4.366,-0.350
10.330,-1.988,-0.695,10.960,0.555,-4.364,-0.327
10.340,-0.685,-1.126,14.581,0.479,-3.538,-0.225
10.350,0.235,-1.164,15.663,0.297,-2.591,-0.149
10.360,0.374,-0.910,13.513,0.140,-1.892,-0.090
10.370,-0.460,-0.479,9.283,0.125,-1.740,-0.025
10.380,-0.230,-0.623,7.161,0.233,-1.958,-0.001
10.390,-0.278,-0.010,7.152,0.338,-2.185,-0.037
10.400,-0.307,-0.230,8.296,0.404,-2.268,-0.044
10.410,-0.522,-0.292,9.772,0.390,-2.159,-0.063
10.420,-0.388,-0.196,10.394,0.311,-1.937,-0.054
10.430,0.426,-0.139,10.888,0.278,-1.712,-0.024
10.440,0.992,-0.182,11.635,0.248,-1.529,0.018
10.450,0.910,-0.120,11.932,0.144,-1.269,0.040
10.460,0.402,-0.302,11.578,0.035,-0.969,0.071
10.470,0.110,-0.350,10.428,-0.001,-0.703,0.117
10.480,0.484,-0.307,9.269,0.023,-0.529,0.122
10.490,1.178,-0.125,8.258,0.073,-0.465,0.119
10.500,1.322,-0.163,8.239,0.146,-0.452,0.119
10.510,0.886,-0.326,8.751,0.191,-0.417,0.112
10.520,0.776,-0.513,9.628,0.195,-0.288,0.100
10.530,0.939,-0.292,10.447,0.207,-0.105,0.068
10.540,0.752,-0.393,10.667,0.226,0.078,0.067
10.550,0.680,-0.412,10.346,0.252,0.241,0.063
10.560,0.623,-0.268,9.925,0.295,0.356,0.075
10.570,0.431,-0.115,9.288,0.341,0.378,0.087
10.580,0.647,-0.077,8.852,0.395,0.308,0.089
10.590,0.771,-0.120,8.737,0.477,0.196,0.085
10.600,0.872,0.129,8.852,0.568,0.101,0.057
10.610,1.327,-0.029,9.312,0.723,0.060,0.047
10.620,1.346,-0.091,9.882,0.901,0.052,0.061
10.630,1.145,0.125,9.939,1.087,0.092,0.038
10.640,1.078,0.484,10.102,1.245,0.201,0.032
10.650,1.097,0.757,9.767,1.360,0.293,0.024
10.660,1.284,0.723,9.283,1.450,0.345,0.039
10.670,1.039,0.992,8.857,1.550,0.342,0.061
10.680,1.039,0.996,8.359,1.631,0.242,0.083
10.690,1.145,1.332,8.488,1.736,0.096,0.071
10.700,1.360,1.447,9.676,1.896,0.055,0.069
10.710,1.049,1.571,10.255,2.033,0.072,0.106
10.720,0.556,1.748,10.054,2.139,0.092,0.145
10.730,0.196,1.921,9.570,2.202,0.086,0.184
10.740,0.220,2.318,8.909,2.226,0.079,0.188
10.750,0.331,2.793,8.694,2.224,0.031,0.159
10.760,0.321,2.850,8.948,2.201,0.025,0.183
10.770,0.273,2.572,9.106,2.204,0.095,0.222
10.780,0.268,2.577,9.111,2.235,0.213,0.262
10.790,0.235,2.673,9.202,2.258,0.298,0.273
10.800,0.484,3.195,9.321,2.243,0.378,0.219
10.810,0.738,3.597,9.278,2.153,0.381,0.130
10.820,0.924,4.115,8.919,2.040,0.267,0.082
10.830,0.580,4.196,8.234,1.934,0.102,0.067
10.840,0.316,4.067,8.258,1.913,0.011,0.067
10.850,0.201,4.115,8.718,1.951,0.080,0.106
10.860,0.048,4.450,8.727,1.976,0.188,0.150
10.870,0.072,4.838,8.646,1.993,0.238,0.185
10.880,0.110,5.015,8.172,1.996,0.217,0.228
10.890,0.800,5.657,7.745,1.977,-0.299,0.293
10.900,0.757,5.624,7.803,1.986,-0.306,0.287
10.910,0.695,5.532,7.817,1.999,-0.303,0.292
10.920,0.556,5.499,7.726,2.023,-0.305,0.293
10.930,0.431,5.403,7.985,2.037,-0.299,0.296
10.940,0.110,5.475,8.210,2.122,-0.215,0.290
10.950,0.129,6.074,8.177,2.171,-0.040,0.255
10.960,0.532,6.170,7.889,2.201,0.135,0.228
10.970,0.781,6.457,7.616,2.203,0.243,0.199
10.980,0.704,6.491,7.166,2.211,0.308,0.159
10.990,0.613,6.591,6.759,2.228,0.324,0.150
11.000,0.805,6.797,6.217,2.225,0.226,0.207
11.010,1.346,7.238,6.203,2.203,0.029,0.219
11.020,1.466,6.639,6.313,2.223,-0.092,0.278
11.030,0.776,6.639,6.486,2.290,-0.180,0.366
11.040,0.474,7.645,6.558,2.326,-0.198,0.341
11.050,0.230,8.090,5.882,2.259,-0.148,0.252
11.060,-0.057,8.186,5.604,2.154,0.017,0.177
11.070,0.335,8.009,6.184,2.071,0.237,0.108
11.080,0.426,7.702,6.069,2.049,0.441,0.057
11.090,0.302,8.009,5.202,2.071,0.492,0.026
11.100,0.762,8.076,4.512,2.100,0.372,0.015
11.110,1.327,8.224,3.885,2.113,0.171,0.017
11.120,1.456,8.311,3.741,2.099,-0.015,0.046
11.130,1.322,8.474,3.918,2.072,-0.109,0.112
11.140,0.795,8.411,4.095,2.101,-0.116,0.127
11.150,0.096,8.378,4.488,2.170,-0.075,0.108
11.160,-0.034,8.723,4.383,2.207,0.021,0.100
11.170,0.139,8.818,3.487,2.177,0.140,0.078
11.180,0.532,9.163,2.529,2.112,0.202,0.039
11.190,1.116,9.192,1.906,2.040,0.143,0.001
11.200,1.494,8.953,1.509,1.981,0.038,0.030
11.210,1.930,8.704,1.624,1.915,-0.118,0.083
11.220,1.997,8.818,1.811,1.923,-0.213,0.166
11.230,1.135,8.675,2.132,1.941,-0.265,0.238
11.240,0.757,8.474,2.606,1.962,-0.264,0.234
11.250,0.848,8.737,2.544,1.949,-0.226,0.215
11.260,0.910,9.125,1.811,1.865,-0.182,0.185
11.270,1.188,9.240,1.087,1.743,-0.182,0.125
11.280,1.207,9.048,0.589,1.611,-0.245,0.135
11.290,1.442,8.445,0.953,1.525,-0.279,0.165
11.300,1.528,7.707,1.035,1.441,-0.306,0.219
11.310,1.494,8.133,-0.038,1.337,-0.346,0.270
11.320,1.078,8.483,-0.187,1.214,-0.424,0.284
11.330,1.035,8.598,0.450,1.101,-0.383,0.308
11.340,0.781,8.541,1.332,1.089,-0.217,0.294
11.350,0.589,8.833,1.202,1.129,-0.137,0.286
11.360,1.126,9.096,1.471,1.210,-0.176,0.268
11.370,1.533,9.101,1.322,1.290,-0.235,0.222
11.380,1.945,9.542,1.413,1.345,-0.249,0.185
11.390,2.007,10.447,0.422,1.273,-0.282,0.220
11.400,1.911,10.998,-0.498,1.095,-0.275,0.182
11.410,1.830,10.955,-0.081,0.845,-0.139,0.185
11.420,1.188,11.041,0.402,0.654,-0.014,0.146
11.430,0.699,10.514,0.857,0.659,0.033,0.081
11.440,0.551,9.987,1.389,0.801,0.038,0.075
11.450,0.570,10.131,1.380,0.957,0.020,0.092
11.460,0.675,10.203,0.992,1.109,0.011,0.096
11.470,0.915,10.773,0.632,1.176,0.009,0.092
11.480,1.011,11.539,-0.604,1.006,0.042,0.056
11.490,0.723,11.328,-2.179,0.588,0.105,-0.034
11.500,0.402,10.495,-2.323,0.244,0.044,-0.101
11.510,0.728,9.561,-0.867,0.031,0.016,-0.112
11.520,0.786,9.144,0.206,-0.071,0.081,-0.121
11.530,0.584,9.226,0.278,-0.108,0.144,-0.120
11.540,0.666,9.206,0.211,-0.133,0.209,-0.107
11.550,0.723,9.259,0.057,-0.155,0.268,-0.071
11.560,0.963,9.719,-0.316,-0.254,0.275,-0.017
11.570,1.312,9.800,-1.418,-0.455,0.221,-0.011
11.580,1.293,9.767,-1.887,-0.686,0.120,-0.013
11.590,1.303,9.551,-1.207,-0.901,0.056,-0.012
11.600,1.183,9.499,-0.508,-1.081,0.074,-0.023
11.610,1.011,9.676,-0.144,-1.231,0.145,-0.047
11.620,1.006,9.772,0.062,-1.367,0.229,-0.074
11.630,1.241,9.891,0.057,-1.506,0.252,-0.075
11.640,1.633,9.915,-0.019,-1.642,0.225,-0.070
11.650,1.768,10.112,0.014,-1.811,0.202,-0.064
11.660,1.403,10.045,0.240,-1.979,0.174,-0.059
11.670,1.159,10.069,0.627,-2.123,0.135,-0.059
11.680,1.025,10.030,0.752,-2.233,0.122,-0.071
11.690,0.944,9.968,1.015,-2.297,0.113,-0.079
11.700,0.757,9.920,1.346,-2.327,0.119,-0.095
11.710,0.977,10.083,1.341,-2.378,0.123,-0.131
11.720,1.312,10.519,1.442,-2.487,0.105,-0.177
11.730,1.791,10.232,1.523,-2.628,0.107,-0.223
11.740,1.720,9.532,1.868,-2.748,0.128,-0.230
11.750,1.221,9.077,2.591,-2.767,0.125,-0.205
11.760,0.867,9.015,3.099,-2.748,0.108,-0.193
11.770,0.857,9.360,2.927,-2.719,0.092,-0.218
11.780,1.111,9.604,3.090,-2.711,0.141,-0.262
11.790,1.236,9.374,3.003,-2.731,0.180,-0.282
11.800,1.394,9.101,3.123,-2.757,0.177,-0.284
11.810,1.351,8.684,3.233,-2.763,0.162,-0.259
11.820,1.154,8.593,3.458,-2.792,0.128,-0.221
11.830,1.356,8.627,3.545,-2.835,0.099,-0.220
11.840,1.504,8.296,3.789,-2.881,0.075,-0.256
11.850,1.557,7.678,4.139,-2.910,0.066,-0.272
11.860,1.356,7.266,4.713,-2.884,0.038,-0.274
11.870,1.054,7.276,4.977,-2.827,0.019,-0.256
11.880,0.982,7.793,4.819,-2.831,-0.046,-0.239
11.890,0.814,8.071,4.862,-2.888,-0.125,-0.242
11.900,1.001,7.841,5.053,-2.960,-0.149,-0.280
11.910,0.877,6.811,4.953,-2.980,-0.164,-0.301
11.920,0.805,6.098,5.303,-2.914,-0.160,-0.293
11.930,0.675,5.485,5.940,-2.775,-0.122,-0.259
11.940,0.493,5.149,6.510,-2.588,-0.062,-0.255
11.950,0.604,5.403,6.639,-2.421,-0.019,-0.207
11.960,0.580,5.489,6.572,-2.327,-0.030,-0.156
11.970,1.111,5.528,6.668,-2.248,-0.076,-0.075
11.980,1.030,5.743,6.409,-2.169,-0.158,-0.050
11.990,0.690,5.465,6.682,-2.118,-0.225,-0.114
12.000,0.551,5.355,7.137,-2.085,-0.160,-0.208
12.010,0.517,5.164,7.635,-2.066,-0.014,-0.290
12.020,1.236,4.431,8.191,-2.025,0.178,-0.318
12.030,1.265,3.990,8.224,-1.942,0.345,-0.240
12.040,0.623,4.594,7.975,-1.855,0.371,-0.132
12.050,0.584,4.857,8.153,-1.793,0.336,-0.132
12.060,0.489,5.087,8.229,-1.779,0.292,-0.124
12.070,-0.081,5.365,7.951,-1.771,0.205,-0.128
12.080,-0.010,5.470,7.645,-1.822,0.109,-0.149
12.090,0.369,5.116,8.545,-1.867,0.036,-0.173
12.100,0.038,4.598,8.483,-1.951,-0.081,-0.162
12.110,-0.077,4.292,8.699,-1.925,-0.275,-0.160
12.120,0.503,3.655,9.072,-1.847,-0.421,-0.134
12.130,0.618,3.003,9.499,-1.687,-0.465,-0.069
12.140,0.982,2.797,9.187,-1.475,-0.422,0.058
12.150,1.260,2.922,9.077,-1.283,-0.258,0.178
12.160,0.354,3.411,8.756,-1.119,-0.154,0.153
12.170,-0.101,3.291,8.795,-1.025,-0.118,0.109
12.180,0.522,3.032,9.130,-1.013,-0.084,0.082
12.190,1.145,3.166,9.183,-1.031,-0.029,0.050
12.200,0.948,3.051,8.914,-1.020,-0.049,0.030
12.210,0.661,2.582,8.972,-0.978,-0.131,0.017
12.220,0.460,2.371,9.360,-0.899,-0.159,0.010
12.230,0.192,2.405,9.532,-0.821,-0.147,0.008
12.240,-0.359,2.563,9.456,-0.770,-0.096,0.002
12.250,-0.637,2.567,9.527,-0.777,-0.024,-0.036
12.260,-0.263,2.376,9.685,-0.817,0.076,-0.068
12.270,0.436,1.964,9.408,-0.816,0.174,-0.080
12.280,0.685,1.772,9.130,-0.776,0.211,-0.074
12.290,0.786,1.758,9.235,-0.744,0.188,-0.065
12.300,0.776,1.820,9.235,-0.717,0.094,-0.090
12.310,0.776,1.844,9.192,-0.712,-0.022,-0.093
12.320,0.594,1.815,9.570,-0.748,-0.084,-0.099
12.330,0.465,1.686,10.054,-0.785,-0.011,-0.090
12.340,0.134,1.653,10.021,-0.833,0.120,-0.087
12.350,-0.062,1.959,9.609,-0.873,0.176,-0.119
12.360,0.206,1.801,9.432,-0.947,0.174,-0.140
12.370,0.316,1.581,9.197,-1.030,0.100,-0.193
12.380,0.508,1.236,9.187,-1.078,-0.017,-0.224
12.390,0.838,0.944,9.369,-1.126,-0.100,-0.221
12.400,0.958,1.030,9.585,-1.225,-0.173,-0.211
12.410,1.126,1.011,10.035,-1.366,-0.212,-0.204
12.420,0.944,0.781,10.533,-1.554,-0.159,-0.182
12.430,0.613,0.604,10.993,-1.722,-0.018,-0.168
12.440,0.206,0.541,10.902,-1.859,0.123,-0.167
12.450,0.057,-0.465,10.198,-2.001,0.048,-0.246
12.460,0.115,-0.460,10.289,-2.004,0.039,-0.250
12.470,0.125,-0.517,10.174,-2.000,0.035,-0.256
12.480,0.139,-0.584,10.390,-1.997,0.031,-0.259
12.490,0.158,-0.637,10.461,-2.004,0.034,-0.259
12.500,0.254,-0.508,10.471,-2.047,0.043,-0.290
12.510,0.307,-0.350,10.208,-2.147,0.046,-0.303
12.520,0.192,-0.417,10.255,-2.264,0.039,-0.317
12.530,0.479,-0.719,10.327,-2.402,0.006,-0.356
12.540,0.824,-1.092,10.500,-2.475,0.013,-0.358
12.550,0.848,-1.657,10.145,-2.448,0.044,-0.327
12.560,0.790,-1.791,9.954,-2.382,0.060,-0.291
12.570,0.762,-1.777,9.839,-2.341,0.084,-0.235
12.580,0.704,-1.959,9.379,-2.284,0.077,-0.190
12.590,0.905,-2.443,9.154,-2.235,0.054,-0.149
12.600,0.877,-2.438,9.460,-2.269,0.055,-0.146
12.610,0.948,-2.443,9.796,-2.390,0.101,-0.180
12.620,0.795,-2.529,9.796,-2.559,0.131,-0.226
12.630,0.556,-3.008,9.465,-2.687,0.133,-0.299
12.640,0.901,-3.607,9.125,-2.724,0.073,-0.335
12.650,1.226,-3.947,8.306,-2.680,0.007,-0.311
12.660,1.073,-4.301,8.167,-2.579,-0.061,-0.262
12.670,0.695,-4.436,8.129,-2.478,-0.081,-0.218
12.680,0.829,-4.416,8.459,-2.428,-0.021,-0.184
12.690,0.723,-4.565,8.502,-2.435,0.092,-0.149
12.700,0.570,-4.709,8.129,-2.452,0.164,-0.125
12.710,1.121,-4.541,8.004,-2.471,0.252,-0.124
12.720,1.135,-4.800,7.645,-2.482,0.284,-0.146
12.730,1.106,-5.480,7.199,-2.448,0.230,-0.163
12.740,0.551,-6.117,6.658,-2.331,0.122,-0.201
12.750,0.307,-6.103,6.744,-2.241,-0.022,-0.196
12.760,0.086,-6.021,7.204,-2.204,-0.141,-0.191
12.770,0.292,-6.313,7.434,-2.205,-0.185,-0.186
12.780,0.278,-5.954,7.650,-2.275,-0.136,-0.166
12.790,0.345,-5.619,7.645,-2.410,-0.062,-0.163
12.800,0.431,-6.117,6.778,-2.522,-0.066,-0.132
12.810,0.455,-6.098,6.294,-2.620,-0.053,-0.134
12.820,0.541,-6.562,5.734,-2.619,-0.052,-0.160
12.830,0.891,-7.271,5.140,-2.494,-0.039,-0.189
12.840,1.533,-8.004,4.436,-2.271,-0.042,-0.155
12.850,1.317,-8.062,4.148,-2.044,-0.080,-0.088
12.860,0.752,-7.712,4.886,-1.941,-0.088,-0.050
12.870,0.278,-7.353,5.873,-2.000,-0.026,-0.042
12.880,0.417,-7.353,6.625,-2.138,0.058,-0.030
12.890,1.274,-7.262,7.827,-2.342,0.216,-0.053
12.900,0.877,-7.290,7.305,-2.574,0.315,-0.066
12.910,0.484,-7.837,5.168,-2.721,0.186,-0.137
12.920,0.905,-8.919,2.955,-2.678,-0.129,-0.167
12.930,0.426,-9.302,1.643,-2.475,-0.408,-0.182
12.940,0.714,-9.072,1.734,-2.229,-0.508,-0.160
12.950,0.704,-8.172,2.970,-2.102,-0.380,-0.080
12.960,0.814,-7.453,4.589,-2.164,-0.179,-0.046
12.970,1.403,-7.659,5.451,-2.383,-0.029,-0.006
12.980,2.304,-7.880,5.686,-2.671,0.013,0.099
12.990,1.720,-8.287,5.489,-2.913,0.004,0.099
13.000,0.594,-9.542,3.176,-2.934,-0.136,-0.047
13.010,1.370,-10.284,0.651,-2.703,-0.258,-0.051
13.020,0.005,-9.944,0.148,-2.471,-0.259,0.019
13.030,0.091,-8.761,-0.144,-2.292,-0.224,0.025
13.040,1.183,-9.072,1.006,-2.137,-0.170,0.017
13.050,1.336,-9.226,2.318,-2.108,-0.083,0.008
13.060,1.049,-9.125,3.128,-2.236,-0.071,-0.041
13.070,1.322,-9.743,2.826,-2.392,-0.176,-0.060
13.080,1.025,-10.653,2.716,-2.468,-0.258,-0.106
13.090,0.948,-10.701,0.924,-2.343,-0.281,-0.132
13.100,1.389,-10.323,-0.977,-2.024,-0.236,-0.069
13.110,2.936,-10.485,-2.797,-1.617,-0.166,0.167
13.120,1.926,-9.087,-3.027,-1.263,-0.156,0.298
13.130,0.953,-7.884,-1.154,-1.129,-0.211,0.199
13.140,1.150,-9.024,0.029,-1.167,-0.294,0.113
13.150,1.590,-9.638,2.098,-1.310,-0.231,0.108
13.160,0.805,-8.737,4.282,-1.614,-0.110,0.087
13.170,-1.126,-9.039,4.694,-2.011,0.063,-0.142
13.180,-1.542,-11.309,2.658,-2.235,0.077,-0.406
13.190,0.800,-13.618,-1.586,-2.010,-0.048,-0.332
13.200,1.437,-12.339,-4.565,-1.422,-0.120,-0.159
13.210,1.380,-9.939,-4.910,-0.848,-0.057,-0.004
13.220,1.772,-8.675,-3.008,-0.496,0.075,0.187
13.230,1.624,-8.953,-1.677,-0.317,0.126,0.244
13.240,1.734,-9.796,-0.077,-0.313,0.034,0.294
13.250,0.982,-9.489,1.638,-0.485,0.028,0.294
13.260,-0.340,-9.456,2.443,-0.706,0.166,0.200
13.270,-1.135,-10.778,1.255,-0.804,0.327,0.019
13.280,0.259,-12.009,-1.806,-0.625,0.295,0.008
13.290,0.833,-11.127,-4.790,-0.234,0.244,0.133
13.300,0.570,-9.216,-5.068,0.128,0.160,0.165
13.310,1.097,-8.201,-3.612,0.309,0.029,0.180
13.320,1.269,-8.512,-2.146,0.340,-0.001,0.166
13.330,0.872,-8.842,-1.193,0.329,-0.013,0.155
13.340,0.656,-8.948,-0.220,0.274,0.061,0.159
13.350,0.235,-9.427,0.604,0.201,0.274,0.162
13.360,-0.081,-10.533,-0.125,0.235,0.423,0.145
13.370,-0.029,-10.816,-2.184,0.394,0.343,0.120
13.380,0.517,-10.251,-3.597,0.640,0.161,0.086
13.390,0.896,-9.547,-3.703,0.894,0.010,0.097
13.400,0.987,-8.962,-3.027,1.079,-0.042,0.107
13.410,1.188,-8.890,-2.112,1.176,-0.017,0.093
13.420,0.934,-9.259,0.388,1.186,0.160,0.078
13.430,0.987,-9.345,0.321,1.180,0.180,0.076
13.440,1.020,-9.925,0.604,1.204,0.271,0.076
13.450,0.872,-10.620,0.091,1.293,0.264,0.051
13.460,0.819,-10.696,-0.996,1.475,0.101,0.048
13.470,0.589,-10.346,-1.384,1.695,-0.051,0.083
13.480,0.690,-9.499,-1.250,1.898,-0.045,0.120
13.490,0.833,-9.120,-0.709,2.022,0.051,0.175
13.500,0.805,-9.149,-0.024,2.087,0.171,0.243
13.510,0.877,-9.446,1.370,2.139,0.402,0.315
13.520,1.188,-9.963,2.065,2.248,0.648,0.404
13.530,1.380,-10.246,2.122,2.357,0.647,0.474
13.540,1.006,-10.629,1.839,2.438,0.509,0.491
13.550,0.503,-10.782,0.992,2.568,0.301,0.473
13.560,0.326,-9.925,0.651,2.731,0.116,0.458
13.570,0.326,-9.297,1.011,2.831,0.058,0.440
13.580,0.417,-9.091,2.280,2.879,0.149,0.456
13.590,0.407,-8.953,3.181,2.930,0.318,0.480
13.600,0.570,-9.163,4.105,2.985,0.423,0.527
13.610,0.417,-8.986,4.871,2.918,0.569,0.612
13.620,-0.354,-8.991,4.536,2.816,0.675,0.643
13.630,-0.580,-10.212,2.826,2.862,0.565,0.565
13.640,0.359,-10.093,1.020,3.117,0.185,0.491
13.650,0.546,-8.847,1.011,3.317,-0.180,0.439
13.660,0.503,-7.530,2.903,3.277,-0.303,0.381
13.670,0.695,-7.118,4.905,3.147,-0.178,0.367
13.680,1.025,-7.195,6.395,3.020,0.040,0.383
13.690,0.560,-7.329,8.052,2.861,0.370,0.421
13.700,-1.274,-7.654,8.100,2.620,0.615,0.337
13.710,-1.269,-8.929,5.772,2.508,0.404,0.275
13.720,-0.077,-9.642,3.296,2.678,-0.007,0.338
13.730,0.599,-8.795,2.505,2.948,-0.349,0.409
13.740,0.766,-6.912,3.003,3.075,-0.563,0.458
